,Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source,Code,Year,$30.00 per day - share of population below poverty line
93,Nepal,123,79,2249412,16,447447,28,790975,Very Low Confidence,524,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2157,NPL,2019,99.74829
94,Netherlands,87,50,854855,11,188068,26,437180,Medium Confidence,528,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2252,NLD,2019,15.60387
95,Nicaragua,124,80,524188,16,102373,28,180970,Very Low Confidence,558,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2078,NIC,2019,95.56163
96,Niger,147,103,2393877,16,364585,28,644496,Very Low Confidence,562,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2210,NER,2019,99.97155
97,Nigeria,233,189,37941470,16,3143117,28,5556257,Very Low Confidence,566,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2211,NGA,2019,99.96996
98,North Macedonia,127,83,172480,16,32586,28,57605,Very Low Confidence,807,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2170,MKD,2019,97.20821
99,Norway,98,79,423857,14,74088,5,26685,Medium Confidence,578,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2128,NOR,2019,7.430460999999998
100,Pakistan,118,74,15947645,16,3387131,28,5987614,Very Low Confidence,586,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2158,PAK,2019,99.68919
101,Panama,113,74,313897,13,54402,26,108582,Low Confidence,591,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2079,PAN,2019,73.70873
102,Papua New Guinea,135,91,798767,16,137260,28,242642,Very Low Confidence,598,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2097,PNG,2019,99.81938
103,Paraguay,116,72,510256,16,110179,28,194770,Very Low Confidence,600,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2080,PRY,2019,86.98145000000002
104,Peru,116,72,2354806,16,508472,28,898853,Very Low Confidence,604,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2081,PER,2019,92.60246
105,Philippines,130,86,9334477,16,1690968,28,2989216,Very Low Confidence,608,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2146,PHL,2019,99.01018
106,Poland,95,56,2119455,13,485392,26,968807,Low Confidence,616,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2039,POL,2019,88.2244
107,Portugal,123,84,861786,13,131011,26,261488,Low Confidence,620,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2171,PRT,2019,62.76525
108,Romania,109,70,1352979,13,248086,26,495161,Low Confidence,642,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2041,ROU,2019,83.21043999999998
109,Rwanda,208,164,2075405,16,197489,28,349112,Very Low Confidence,646,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2213,RWA,2019,99.73936
110,Saint Lucia,116,72,13241,16,2859,28,5054,Very Low Confidence,662,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2085,LCA,2019,82.43568
111,Samoa,120,76,14923,16,3083,28,5449,Very Low Confidence,882,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2135,WSM,2019,96.39284
112,Sao Tome and Principe,144,100,21422,16,3364,28,5947,Very Low Confidence,678,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2215,STP,2019,98.88971
113,Senegal,144,100,1622980,16,254879,28,450564,Very Low Confidence,686,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2216,SEN,2019,99.85316
114,Serbia,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173,SRB,2019,93.76611
115,Seychelles,132,93,9128,13,1252,26,2498,Low Confidence,690,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2217,SYC,2019,82.67017
116,Sierra Leone,147,103,802371,16,122200,28,216020,Very Low Confidence,694,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2218,SLE,2019,99.91146
117,Slovakia,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043,SVK,2019,69.97489999999999
118,Slovenia,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174,SVN,2019,33.13392
119,Solomon Islands,135,91,60963,16,10476,28,18519,Very Low Confidence,90,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2098,SLB,2019,99.83022
120,Somalia,147,103,1585898,16,241530,28,426966,Very Low Confidence,706,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2219,SOM,2019,99.99
121,South Africa,84,40,2329228,16,915865,28,1619024,Very Low Confidence,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220,ZAF,2019,91.04232
122,South Sudan,147,103,1136015,16,173014,28,305846,Very Low Confidence,728,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2221,SSD,2019,99.97423
123,Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175,ESP,2019,44.31491000000001
124,Sri Lanka,120,76,1617738,16,333508,28,589559,Very Low Confidence,144,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2159,LKA,2019,97.3023
125,Sudan,141,97,4162396,16,669608,28,1183703,Very Low Confidence,729,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2111,SDN,2019,99.75964
126,Suriname,116,72,42112,16,9093,28,16075,Very Low Confidence,740,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2089,SUR,2018,94.30187
127,Sweden,112,81,812948,10,100364,21,205746,High Confidence,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129,SWE,2019,16.44885
128,Switzerland,125,72,615790,13,110067,40,343656,Low Confidence,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253,CHE,2019,12.4597
129,Tajikistan,141,97,906209,16,145783,28,257708,Very Low Confidence,762,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2025,TJK,2019,98.96064
130,Thailand,123,79,5478532,16,1088960,28,1925014,Very Low Confidence,764,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2148,THA,2019,91.38145
131,Togo,147,103,830017,16,126411,28,223463,Very Low Confidence,768,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2222,TGO,2019,99.93601
132,Tonga,120,76,7912,16,1634,28,2889,Very Low Confidence,776,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2137,TON,2019,95.89398
133,Trinidad and Tobago,113,74,103119,13,17872,26,35671,Low Confidence,780,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2090,TTO,2019,76.43636000000002
134,Tunisia,135,91,1064407,16,182908,28,323336,Very Low Confidence,788,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2112,TUN,2019,97.13154
135,Turkey,137,93,7762575,16,1304858,28,2306668,Very Low Confidence,792,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2242,TUR,2019,83.22361000000002
136,Turkmenistan,120,76,449895,16,92936,28,164288,Very Low Confidence,795,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2026,TKM,2019,95.9845
137,Tuvalu,120,76,878,16,181,28,321,Very Low Confidence,798,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2138,TUV,2019,96.68702
138,Uganda,147,103,4546237,16,692387,28,1223969,Very Low Confidence,800,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2223,UGA,2019,99.77205
139,Ukraine,120,76,3344904,16,688070,28,1216338,Very Low Confidence,804,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2044,UKR,2019,95.06982
140,United Arab Emirates,134,95,923625,13,125173,26,249836,Low Confidence,784,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2243,ARE,2019,0.8391554000000001
141,United Kingdom,98,77,5199825,4,283627,17,1114248,High Confidence,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130,GBR,2019,30.15797
142,United States of America,139,59,19359951,16,5151313,64,20934827,High Confidence,840,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2118,USA,2019,19.99708
143,Uruguay,113,74,255892,13,44349,26,88517,Low Confidence,858,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2093,URY,2019,70.72154
144,Uzbekistan,135,91,3001868,16,515841,28,911881,Very Low Confidence,860,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2027,UZB,2019,99.7841
145,Vanuatu,135,91,27296,16,4691,28,8292,Very Low Confidence,548,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2099,VUT,2019,99.56884
146,Yemen,148,104,3026946,16,456099,28,806270,Very Low Confidence,887,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2244,YEM,2019,99.94615
147,Zambia,122,78,1391729,16,279350,28,493822,Very Low Confidence,894,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2225,ZMB,2019,99.51594
148,Zimbabwe,144,100,1458564,16,229059,28,404920,Very Low Confidence,716,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2226,ZWE,2019,99.04897
